pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId,primeAnimacy,targetAnimacy
25,CV,CV,onset,y,냄비,노트,PICTURE_369.png,PICTURE_642.png,Pot,Notebook,inanimate,inanimate
17,CVC,CV,control,n,반지,노트,PICTURE_744.png,PICTURE_642.png,Ring,Notebook,inanimate,inanimate
206,CVC,CV,body,y,폭탄,포크,PICTURE_386.png,PICTURE_673.png,Bomb,Fork,inanimate,inanimate
184,CVC,CV,body,y,칠판,치마,PICTURE_402.png,PICTURE_199.png,Blackboard,Skirt,inanimate,inanimate
108,CV,CVC,control,n,지문,말벌,PICTURE_537.png,PICTURE_62.png,Fingerprint,Hornet,inanimate,animate
122,CV,CV,nucleus,y,도끼,고래,PICTURE_422.png,PICTURE_724.png,Axe,Whale,inanimate,animate
1,CV,CV,onset,y,버섯,부엌,PICTURE_177.png,PICTURE_730.png,Mushroom,Kitchen,inanimate,inanimate
48,CVC,CVC,control,n,경찰,눈썹,PICTURE_213.png,PICTURE_578.png,Police,Eyebrow,animate,animate
253,CVC,CVC,syllable,y,공주,공룡,PICTURE_157.png,PICTURE_293.png,Princess,Dinosaur,animate,animate
109,CVC,CV,nucleus,y,식물,피자,PICTURE_611.png,PICTURE_489.png,Plant,Pizza,inanimate,inanimate
46,CVC,CVC,onset,y,눈썹,낙타,PICTURE_578.png,PICTURE_77.png,Eyebrow,Camel,animate,animate
266,CVC,CVC,syllable,y,신발,신부,PICTURE_541.png,PICTURE_602.png,Shoes,Priest,inanimate,animate
70,CVC,CVC,onset,y,감자,경찰,PICTURE_249.png,PICTURE_213.png,Potato,Police,inanimate,animate
218,CVC,CVC,rime,y,군인,분필,PICTURE_317.png,PICTURE_622.png,Soldier,Chalk,animate,inanimate
185,CVC,CV,control,n,침대,사슴,PICTURE_268.png,PICTURE_105.png,Bed,Deer,inanimate,animate
245,CVC,CVC,rime,y,팔찌,날개,PICTURE_588.png,PICTURE_307.png,Bracelet,Wing,inanimate,animate
230,CVC,CVC,rime,y,맥주,책상,PICTURE_229.png,PICTURE_110.png,Beer,Desk,inanimate,inanimate
244,CVC,CVC,rime,y,발목,팔찌,PICTURE_205.png,PICTURE_588.png,Ankle,Bracelet,animate,inanimate
61,CVC,CV,onset,y,경찰,거미,PICTURE_213.png,PICTURE_38.png,Police,Spider,animate,animate
207,CVC,CV,body,y,폴더,포도,PICTURE_596.png,PICTURE_620.png,Folder,Grapes,inanimate,inanimate
166,CVC,CVC,body,y,상어,삼각,PICTURE_533.png,PICTURE_181.png,Shark,Triangle,animate,inanimate
278,CVC,CVC,syllable,y,전갈,전화,PICTURE_370.png,PICTURE_509.png,Scorpion,Telephone,animate,inanimate
285,CVC,CVC,control,n,신발,공룡,PICTURE_541.png,PICTURE_293.png,Shoes,Dinosaur,inanimate,animate
79,CV,CVC,nucleus,y,사과,장미,PICTURE_552.png,PICTURE_480.png,Apple,Rose,inanimate,inanimate
68,CVC,CV,control,n,감자,냄비,PICTURE_249.png,PICTURE_369.png,Potato,Pot,inanimate,inanimate
