pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId
169,CV,CV,syllable,y,치즈,치마,PICTURE_72.png,PICTURE_199.png,Cheese,Skirt
234,CVC,CVC,rime,y,책상,백조,PICTURE_110.png,PICTURE_528.png,Desk,Swan
118,CVC,CVC,nucleus,y,깃발,식물,PICTURE_295.png,PICTURE_611.png,Flag,Plant
152,CV,CVC,body,y,사슴,상어,PICTURE_105.png,PICTURE_533.png,Deer,Shark
63,CVC,CV,onset,y,감자,거미,PICTURE_249.png,PICTURE_38.png,Potato,Spider
82,CV,CVC,control,n,타조,복도,PICTURE_299.png,PICTURE_483.png,Ostrich,Hallway
242,CVC,CVC,rime,y,날개,팔찌,PICTURE_307.png,PICTURE_588.png,Wing,Bracelet
206,CVC,CV,body,y,폭탄,포크,PICTURE_386.png,PICTURE_673.png,Bomb,Fork
200,CV,CVC,body,y,포크,폴더,PICTURE_673.png,PICTURE_596.png,Fork,Folder
157,CVC,CV,body,y,삼각,사진,PICTURE_181.png,PICTURE_527.png,Triangle,Photo
32,CV,CVC,onset,y,노트,눈썹,PICTURE_642.png,PICTURE_578.png,Notebook,Eyebrow
16,CVC,CV,onset,y,봉투,부엌,PICTURE_310.png,PICTURE_730.png,Envelope,Kitchen
280,CVC,CVC,syllable,y,전구,전화,PICTURE_244.png,PICTURE_509.png,Lightbulb,Telephone
25,CV,CV,onset,y,냄비,노트,PICTURE_369.png,PICTURE_642.png,Pot,Notebook
