pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId
50,CV,CV,onset,y,계단,거미,PICTURE_500.png,PICTURE_38.png,Stairs,Spider
204,CV,CVC,control,n,포크,칠판,PICTURE_673.png,PICTURE_402.png,Fork,Blackboard
184,CVC,CV,body,y,칠판,치마,PICTURE_402.png,PICTURE_199.png,Blackboard,Skirt
14,CVC,CV,onset,y,반지,부엌,PICTURE_744.png,PICTURE_730.png,Ring,Kitchen
205,CVC,CV,body,y,폭탄,포도,PICTURE_386.png,PICTURE_620.png,Bomb,Grapes
124,CV,CV,control,n,피자,고래,PICTURE_489.png,PICTURE_724.png,Pizza,Whale
244,CVC,CVC,rime,y,발목,팔찌,PICTURE_205.png,PICTURE_588.png,Ankle,Bracelet
266,CVC,CVC,syllable,y,신발,신부,PICTURE_541.png,PICTURE_602.png,Shoes,Priest
67,CVC,CV,control,n,감자,버섯,PICTURE_249.png,PICTURE_177.png,Potato,Mushroom
101,CV,CVC,nucleus,y,피자,식물,PICTURE_489.png,PICTURE_611.png,Pizza,Plant
77,CV,CVC,nucleus,y,타조,장미,PICTURE_299.png,PICTURE_480.png,Ostrich,Rose
207,CVC,CV,body,y,폴더,포도,PICTURE_596.png,PICTURE_620.png,Folder,Grapes
285,CVC,CVC,control,n,신발,공룡,PICTURE_541.png,PICTURE_293.png,Shoes,Dinosaur
69,CVC,CVC,onset,y,경찰,감자,PICTURE_213.png,PICTURE_249.png,Police,Potato
110,CVC,CV,nucleus,y,식물,지문,PICTURE_611.png,PICTURE_537.png,Plant,Fingerprint
95,CVC,CVC,control,n,장미,복도,PICTURE_480.png,PICTURE_483.png,Rose,Hallway
160,CVC,CV,body,y,상어,사슴,PICTURE_533.png,PICTURE_105.png,Shark,Deer
256,CVC,CVC,syllable,y,공룡,공항,PICTURE_293.png,PICTURE_617.png,Dinosaur,Airport
134,CVC,CV,nucleus,y,촛불,도끼,PICTURE_68.png,PICTURE_422.png,Candle,Axe
21,CVC,CVC,onset,y,반지,봉투,PICTURE_744.png,PICTURE_310.png,Ring,Envelope
131,CV,CVC,control,n,도끼,장미,PICTURE_422.png,PICTURE_480.png,Axe,Rose
152,CV,CVC,body,y,사슴,상어,PICTURE_105.png,PICTURE_533.png,Deer,Shark
146,CV,CV,syllable,y,사슴,사진,PICTURE_105.png,PICTURE_527.png,Deer,Photo
